🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
,,,Fire Eagle,INDIA PALE ALES,American IPA,AUSTIN BEERWORKS,"Austin, TX",7.3%,,5.0,,,a good ipa
,,,Intersect - Citra + HBC586,INDIA PALE ALES,New England IPA,TORCH & CROWN BREWING COMPANY,"New York, NY",5.1%,5.0,,,"Sessionable-est Sculpin ever. Middle of the road, inoffensive session IPA. ",
,,,"Tip Toe Wing Through the Tulips",INDIA PALE ALES,American IPA,VILLAINS BREWING COMPANY,"Anaheim, CA",6.8%,,5.0,,,not too hazy and almost no grass
,,,Suntory World Craft Session IPA,INDIA PALE ALES,American IPA,SUNTORY,"Osaka, JAPAN",5.0%,5.0,,,Default IPA. They didn't ruin it like Californians. ,
,,,India Pale Whale,INDIA PALE ALES,American IPA,HARLAND BREWING COMPANY,"San Diego, CA",6.0%,4.7,5.0,4.9,No grassy aftertaste. Just doesn't stand out whatsoever and definitely bitter at the end.,"lightly hoppy, just enough fruit to carry it through"
,,,Anderson Valley Juicy Session IPA,INDIA PALE ALES,American IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",5.5%,,4.8,,,"barely fruit flavor, but good on the nose, really malty, blends out the hops, butter mouthfeel"
,,,Hazy Sculpin,INDIA PALE ALES,New England IPA,BALLAST POINT BREWING COMPANY,"San Diego, CA",7.0%,5.0,4.6,4.8,Great smell. Easier drink than normal Sculpin.,"probably the better of the ""sculpin"" series"
,,,Hazzmatt Double Hazy IPA,INDIA PALE ALES,Imperial IPA,LA BODEGA BREWING COMPANY,"Whittier, CA",9.8%,4.0,5.5,4.8,"Credit where credit is due, I can't taste the alcohol. Hop bitterness hits you like a truck.","where is alc, the grass hits hard but does not stay around, no dryness, no lingering bitterness (we MAY have been given the normal IPA tho)"
,,,Pliny the Elder,INDIA PALE ALES,Imperial IPA,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",8.0%,4.9,4.7,4.8,An IPA in its purest form. I respect it.,"man, I guess i just don't like IPAs"
,,,Samuel Smith India Ale,INDIA PALE ALES,English IPA,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,5.0,4.5,4.8,"Zero hop, nutty finish. ","""ipa""? but only the bitter with no hop, no fruit"
,,,Sharkinator White IPA,INDIA PALE ALES,American IPA,LOST COAST BREWERY,"Eureka, CA",4.8%,,4.7,,,hazy but no fruit? quite peculiar ngl
,,,Snice 'N' Hazy Double IPA,INDIA PALE ALES,Imperial IPA,BJ'S BREWHOUSE,"West Covina, CA",8.6%,4.7,4.7,4.7,Bitter upfront and bitter out the ass. Lack of grass and clear grapefuit carries it. ,"best bj's ipa, lingering grapefruit, but def a double in grass"
,,,Big Holler Hazy IPA,INDIA PALE ALES,American IPA,UKIAH BREWING COMPANY,"Ukiah, CA",7.4%,,4.6,,,"like a witches brew of a bunch of random hops, a fun confusing taste, lingering dryness and light on the nose"
,,,Illa Vanilla,INDIA PALE ALES,Milkshake IPA,FULL CIRCLE BREWING COMPANY,"Fresno, CA",6.5%,4.5,4.6,4.6,"Subversion with zero vanilla, milkshake, and way more hop smell than you actually taste. ","somehow smells grassier than it tastes, why ""milkshake"" tho? none of the advertised notes are present"
,,,Imaginary Friend ,INDIA PALE ALES,American IPA,BOOMTOWN BREWERY,"Los Angeles, CA",5.5%,4.3,4.8,4.6,"They claim it's a ""session IPA,"" but the ABV and hop bitterness beg to differ. Meh. ",might rather have this than their pale ale
,,,Pineapple Sculpin,INDIA PALE ALES,American IPA,BALLAST POINT BREWING COMPANY,"San Diego, CA",7.0%,4.6,4.5,4.6,Smell more pineapple than you taste. Pretty bitter all around for a fruity IPA. ,"not as good as the hazy, pineapple really as an aftertaste"
,,,Tropical Hopstorm,INDIA PALE ALES,New England IPA,BJ'S BREWHOUSE,"West Covina, CA",6.5%,4.6,4.5,4.6,When does the aftertaste become just the taste?,fuck me on the notes
,,,Mad Crazy Mango,INDIA PALE ALES,American IPA,BJ'S BREWHOUSE,"West Covina, CA",6.6%,4.7,4.3,4.5,"Smells great. Definitely an IPA, but at least the grass didn't linger. ","juicy mango on the first hit, grass on everything else"
,,,Orderville,INDIA PALE ALES,New England IPA,MODERN TIMES BEER,"San Diego, CA",7.2%,4.0,5.0,4.5,"Another day, another IPA. Not as fruity or sweet as I expected it to for a hazy. Green tea beer. ","smells fantastic, kinda falls flat compared to expectations, actually getting tea here tho"
,,,Sculpin,INDIA PALE ALES,American IPA,BALLAST POINT BREWING COMPANY,"San Diego, CA",7.0%,4.8,4.2,4.5,Caramel rich body and no grass but booze-y bitterness lingers a bit.,"a mid beer for beer drinkers, a bad ipa for ipa drinkers"
,,,Big Weekend Double IPA,INDIA PALE ALES,Imperial IPA,CORONADO BREWING COMPANY,"Coronado, CA",8.8%,3.8,4.9,4.4,"Double hop, double grass, double bitter. Zero extra fruit or citrus. Bad deal.","compared to the bells two hearted: more hop, with more haze just on the nose, but not too different taste wise"
,,,Clouded Thoughts Hazy Double,INDIA PALE ALES,Imperial IPA,FOUR SONS BREWING,"Huntington Beach, CA",8.1%,4.4,,,Inoffessive fruity hazy with light grass and slight leafy tea notes. ,
,,,Chavez Ravine,INDIA PALE ALES,American IPA,BOOMTOWN BREWERY,"Los Angeles, CA",6.5%,5.0,3.8,4.4,"Pretty decent fruit. Exactly what you want from a hazy, just kinda bitter upfront. ",bitter and meh
,,,Healdsburg India Pale Ale,INDIA PALE ALES,English IPA,HEALDSBURG BEER COMPANY**,"Boonville, CA",6.3%,4.8,4.0,4.4,"Like their blonde ale, just not as confused. Absolutely doesn't taste like an IPA. ","not an ipa,so it's pretty good lmao"
,,,Jai Alai IPA,INDIA PALE ALES,American IPA,CIGAR CITY BREWING,"Tampa, FL",7.5%,4.2,4.5,4.4,Run-of-the-mill IPA that doesn't scream fruit but still ends bitter. ,initial hit of hop that disappears 
,,,Kōkua Session IPA,INDIA PALE ALES,American IPA,MAUI BREWING COMPANY**,"**Kihei, HI",4.2%,5.1,3.7,4.4,"Took ""sessionable' to heart and really made a light IPA. Light on the grass and bitter. ","ultra lite, meh"
,,,Blood Orange IPA,INDIA PALE ALES,American IPA,LATITUDE 33° BREWING COMPANY,"Vista, CA",7.3%,4.1,4.4,4.3,Lures you in with awesome blood orange soda sweetness but is just a typical bitter IPA.,"definitely blood orange, definitely ipa"
,,,Hopstorm IPA,INDIA PALE ALES,American IPA,BJ'S BREWHOUSE,"West Covina, CA",6.5%,4.5,3.8,4.2,"Richer and more bitter Piranha, but oddly enough not any more grass. Not bad. ",piranha but ever so slightly hoppier
,,,Space Needle IPA,INDIA PALE ALES,American IPA,PIKE BREWING COMPANY,"Seattle, WA",7.2%,3.7,4.4,4.1,"Bitter, bitter, bitter. Not a ton of tea tanin finish, at least. Grassy coming up, not a lot of fruit. ","again, kinda weak in flavor (missing grass, literally anything) mellows out really quickly on the back of the tongue"
,,,Space Camper Cosmic IPA,INDIA PALE ALES,American IPA,BOULEVARD BREWING COMPANY,"Kansas City, MO",5.9%,4.1,3.8,4.0,"Boozy for no reason, it seems like. Has about as much flavor as a decent pale ale.","too hop heavy, tasting whiffs of alc without the abv to back it up"
,,,Space Dust,INDIA PALE ALES,Imperial IPA,ELYSIAN BREWING COMPANY,"Seattle, WA",8.2%,4.0,4.0,4.0,"The Brizzle special. Doesn't smell like grass or fruit, dry bitter all the way through.","bitterness and grass, you know what you're getting"
,,,A Little Sumpin' Sumpin' Ale,INDIA PALE ALES,American IPA,LAGUNITAS BREWING COMPANY,"Petaluma, CA",7.5%,3.7,4.0,3.9,Caramel-y smooth and no grass but all the hop bitterness for no reason. ,good initial sip but then sumpin' fuckin weird about that bitterness
,,,Zany Zitrus Hazy IPA,INDIA PALE ALES,New England IPA,BJ'S BREWHOUSE,"West Covina, CA",7.4%,4.5,3.3,3.9,"Sharp lemon citrus on top, then just bitter, bitter all the way through.","minimal haze with dry hop beginning, middle, and end"
,,,90 Minute IPA,INDIA PALE ALES,Imperial IPA,DOGFISH HEAD BREWERY,"Milton, DE",9.0%,3.4,4.2,3.8,"Came in bitter, went down bitter, stayed bitter.",a good initial hit with a lingering dry hop
,,,Hop Ottin' IPA,INDIA PALE ALES,American IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",7.0%,3.4,4.2,3.8,"Least off-the-top bitter IPA from Boonville. Not too hop forward, finishes dry. ","(tap: 2.9, literally nothing but hops, fuck me this shit is bitter)
can: way fucking better in the can, smooth, slightly dry finish"
,,,Orr Springs IPA,INDIA PALE ALES,American IPA,UKIAH BREWING COMPANY,"Ukiah, CA",6.5%,,3.8,,,"really nice on the nose, but otherwise light and meh"
,,,Ride On 5 Hop Citrus IPA,INDIA PALE ALES,American IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",5.0%,3.8,3.7,3.8,Dry like a grape skin. Generic fruitiness. ,"ultra super duper dry, dries up all the hoppiness along with all the moisture in your mouth"
,,,Blind Pig,INDIA PALE ALES,American IPA,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",6.3%,3.0,4.3,3.7,Promised hops. Delivered.,"crisp, light, great mouthfeel, but lingering grass notes was something they were striving for???"
,,,Fear. Movie. Lions.,INDIA PALE ALES,Imperial IPA,STONE BREWING,"Escondido, CA",8.5%,3.5,3.8,3.7,"Smelled way hoppier than it tasted. Not that bitter, and I expected it to be worse.",kinda lite double but way more hop than hazy
,,,Fresh Haze,INDIA PALE ALES,New England IPA,DESCHUTES BREWERY,"Bend, OR",6.5%,4.2,3.2,3.7,"Not much fruit or sweetness. Smells good and is okay crisp, but its mostly hop. ",rank bitterness messes it all up
,,,Maximus Colossal IPA,INDIA PALE ALES,Imperial IPA,LAGUNITAS BREWING COMPANY,"Petaluma, CA",9.0%,3.4,4.0,3.7,Every craft brewery thinks they're unique for making exactly the same bitter IPA.,"tastes like an ipa (my notes also say ""we were very drunk"")"
,,,McConauhaze,INDIA PALE ALES,New England IPA,TWISTED X BREWING COMPANY,"Dripping Springs, TX",6.5%,,3.7,,,"not particularly hazy, but almost amber-esque"
,,,Bounce,INDIA PALE ALES,American IPA,BROUWERIJ WEST,"San Pedro, CA",6.0%,3.2,4.0,3.6,"Strange tea/tannin flavors. Should be prosecuted for using ""brouwerij.""",also tastes like an ipa
,,,Dokkaebi IPA 🚾,INDIA PALE ALES,American IPA,DOKKAEBIER,"Oakland, CA",6.5%,3.5,3.6,3.6,Starts off citrusy and floral and lets you down in the second half like any other IPA.,"actually fuckin weird, oddly spicy, coriander mixed with ODD hops, actually a mystery"
,,,Greenleaf IPA ,INDIA PALE ALES,American IPA,WHITTIER BREWING COMPANY,"Whittier, CA",7.0%,2.9,4.3,3.6,Textbook IPA for people who only want classic American hoppiness.,"an ipa, never fuckin coming here again"
,,,Uptown Hazy IPA,INDIA PALE ALES,New England IPA,PIKE BREWING COMPANY,"Seattle, WA",6.2%,4.2,3.0,3.6,Kinda crispy bitter. Not a ton of fruit for a hazy. Almost a passable normal IPA. ,"actually super duper weak for a hazy, almost yearning for a bit of grass/flavor lol"
,,,Rob's Guava Hazy IPA,INDIA PALE ALES,New England IPA,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.0%,3.6,,,"If I'm honest, the only IPA from this day I really remember. It tasted like guava. And hops.",
,,,IPA No. 3,INDIA PALE ALES,American IPA,NORTHSPUIR BREWING,"Willits, CA",7.3%,,3.5,,,"slight fruit, very dry, very hoppy"
,,,Ride On Tropical IPA,INDIA PALE ALES,New England IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",7.2%,3.3,3.6,3.5,Smells like Skittles then transitions into a big oof bitter really quickly. ,"points for smell, minus points for everything else"
,,,Ride On West Coast IPA,INDIA PALE ALES,American IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",7.0%,3.6,3.4,3.5,Leafy and bitter like green tea. Maybe that's what's masking the grassiness. ,"characteristically dry, weird earth notes"
,,,Stash IPA,INDIA PALE ALES,American IPA,INDEPENDENCE BREWING COMPANY,"Austin, TX",7.5%,,3.5,,,"light, crispy hop water"
,,,All That And A Bag of Hops,INDIA PALE ALES,New England IPA,ZILKER BREWING COMPANY,"Austin, TX",6.8%,,3.4,,,tons of citrus up front followed by a lot of mellow grass
,,,Anderson Valley Crisp IPA,INDIA PALE ALES,American IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",6.8%,2.7,4.1,3.4,Bitter from the moment it touched me.,"crisp indeed, but fuck that hop Trojan horse"
,,,Probability Cloud,INDIA PALE ALES,New England IPA,NORTHSPUIR BREWING,"Willits, CA",6.5%,,3.2,,,a real nothing kind of hazy
,,,Ride On 10 Hop Hazy IPA,INDIA PALE ALES,New England IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",7.5%,2.8,3.6,3.2,What on God's green earth made you think NINE different hops weren't enough?,more wet (lol) but honestly a weird tasting combo
,,,Escape West Coast IPA,INDIA PALE ALES,American IPA,OFFSHOOT BEER COMPANY,"Placentia, CA",7.1%,3.1,3.0,3.1,Dark and bitter.,why exist
,,,Beer Hates Astronaunts 🚾,INDIA PALE ALES,American IPA,HALF ACRE BEER COMPANY,"Chicago, IL",7.8%,2.8,3.2,3.0,"Smooth as it comes in, followed immedately with a shock of bitter, hop, and grass. ","oddly round, it never really gets as bad as the initial makes it feel, but it still sucks"
,,,Committed Double IPA,INDIA PALE ALES,Imperial IPA,BJ'S BREWHOUSE,"West Covina, CA",8.6%,3.8,2.2,3.0,"Almost ""rich"" caramel hint at the top. Not expected from an IPA. Definitely bitter.",bitter chewy grassy booty juice
,,,Ride On Imperial IPA,INDIA PALE ALES,Imperial IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",9.0%,2.6,3.3,3.0,Guess they ran out of ideas and just wanted to make it bitter-er-er.,more a standard ipa
,,,Anderson Valley Double IPA,INDIA PALE ALES,Imperial IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",8.7%,2.5,3.1,2.8,"Take the Crisp IPA and add more hops, duh.",more hops
,,,Cryo Revengeance 🚾,INDIA PALE ALES,Imperial IPA,MASON ALE WORKS,"San Diego, CA",8.0%,2.5,2.8,2.7,A classic example of people going too far with hops in double IPAs.,"sweet but in a bad way, just not my cup of tea in the slightest"
,,,Troublemaker,INDIA PALE ALES,American IPA,ZILKER BREWING COMPANY,"Austin, TX",7.2%,,2.7,,,"""reminds me of space dust!"" - brizzle"
,,,Lush IPA,INDIA PALE ALES,American IPA,FREMONT BREWING COMPANY,"Seattle, WA",7.0%,,2.6,,,"grass on the nose, grass in the throat"
,,,Anderson Valley West Coast IPA,INDIA PALE ALES,American IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",7.6%,2.4,2.6,2.5,Shocking.,"dry, light, hops, meh"
,,,Hustle Double IPA,INDIA PALE ALES,Imperial IPA,FREMONT BREWING COMPANY,"Seattle, WA",9.0%,,2.4,,,"zero fizz, almost a hop infused apple juice, yuck"
,,,Mandarin IPA,INDIA PALE ALES,American IPA,BLAZING TREE BREWERY,"El Paso, TX",4.8%,,2.4,,,"smells great, tastes like selzter and grass water"
,,,Wolf Mother Triple IPA,INDIA PALE ALES,Imperial IPA,GOLDEN ROAD BREWING,"Los Angeles, CA",11.2%,2.4,2.3,2.4,There's an artificial sweetness that just makes the truckload of bitterness worse.,"starts normal and then it tightens your entire throat, like drinking cement, literally can feel it drag down my gullet"
,,,Musk of the Minotaur ,INDIA PALE ALES,New England IPA,HOOF HEARTED BREWING,"Marengo, OH",7.2%,2.4,2.1,2.3,Visible recoil with every sip. ,tastes of sour fucking musk fuck you 
,,,Kitsilano Juicy IPA,INDIA PALE ALES,New England IPA,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.5%,,,,,
,,,Brockton West Coast IPA,INDIA PALE ALES,American IPA,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",6.5%,,,,,
,,,Juice Box Hazy IPA,INDIA PALE ALES,New England IPA,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",6.5%,,,,,
,,,Deucebox Double Hazy IPA,INDIA PALE ALES,Imperial IPA,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",8.0%,,,,,
🆕,,,The Truth ,INDIA PALE ALES,Imperial IPA,FLYING DOG BREWERY,"Frederick, MD",8.7%,,,,,
🆕,,,Double Dog,INDIA PALE ALES,Imperial IPA,FLYING DOG BREWERY,"Frederick, MD",12.0%,,,,,
🆕,,,Simtra Triple IPA,INDIA PALE ALES,Imperial IPA,KNEE DEEP BREWING COMPANY,"Auburn, CA",11.3%,,,,,
🆕,,,Tropicália,INDIA PALE ALES,American IPA,CREATURE COMFORTS BREWING COMPANY,"Athens, GA",6.6%,,,,,
,⭐,⭐,Louvada Witbier,WHEAT ALES,Witbier,CERVEJERIA LOUVADA,"Cuiabá, BRAZIL",4.8%,8.3,8.1,8.2,"As a Bernardus shill, this one hurts. But the hurt tastes so good.","belgain vibes without the thickness, light and bubbly with tones of floral and fruit, was giving this a 7.7 before i realized just how damn good it is, might be the most worthy star i've given"
,,,Hitachino Nest White Ale,WHEAT ALES,Witbier,KIUCHI BREWERY,"Naka, JAPAN",5.5%,7.2,7.3,7.3,Great Belgian backbone with some great spice-forward flavors. Pepper and cinnamon.,"white pepper wit beer, light coriander and damn fantastic"
,,,St. Bernardus Tokyo Wit,WHEAT ALES,Witbier,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",6.0%,7.1,7.3,7.2,Little more hop than the standard Wit. The can looks super cool though.,fruity but in a good way
,,,Chihuahefe,WHEAT ALES,Hefeweizen,DEADBEACH BREWERY,"El Paso, TX",5.6%,6.5,7.5,7.0,"Consider me impressed, a decent American hefe. Smells like a witbier, but solid clove and banana.  ",a DAMN good hefe 
,,,My Name is Hefe,WHEAT ALES,Hefeweizen,LA BODEGA BREWING COMPANY,"Whittier, CA",5.3%,6.6,7.4,7.0,"Very nearly as good as from das vaterland. Great banana, great clove. Missing just a hint of citrus.","fantastic hefe, fruity coriander with fizzier than usual bubbles"
,⭐,,White Rascal,WHEAT ALES,Witbier,AVERY BREWING COMPANY,"Boulder, CO",5.6%,7.2,6.7,7.0,Slam dunk on all the witbier checkboxes.,great body with slight haze
,,,Bavik Super Wit,WHEAT ALES,Witbier,BROUWEIJ DE BRABANDERE,"Bavikhove, BELGIUM",5.0%,6.4,7.3,6.9,"Most sessionable wit, comes at the cost of citrus. Has corriander and is quite peppery.","absolutely slammable wit, perfectly balanced notes"
,,,Allagash White,WHEAT ALES,Witbier,ALLAGASH BREWING COMPANY,"Portland, MA",5.2%,6.5,7.0,6.8,"Fragrance and flavor is way stronger than Bernardus Wit, but I don't like it better.","westmalle extra, but richer and more complicated (different note: 4.8, nice wheat, slight coriander but relatively bland and light on the nose)"
,,,Dayfall Belgian White,WHEAT ALES,Witbier,STONE BREWING,"Escondido, CA",5.5%,6.9,6.6,6.8,Just a hint of IPA-syndrome.,"crisp, aromatic, slight fruit, great off a tap"
,,,St. Bernardus Wit,WHEAT ALES,Witbier,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",5.5%,7.0,6.6,6.8,"All the Bernardus top notes in a ""light beer"" body. Fruity, no hop.","fruity, wheaty seltzer water, light with good mouthfeel"
,,,Weihenstephaner Hefeweissbier,WHEAT ALES,Hefeweizen,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.4%,6.7,6.7,6.7,I hope you like bananas. ,9/10 my ass
,,,Buck Wild ,WHEAT ALES,Witbier,WILD LEAP BREW COMPANY,"LaGrange, GA",5.5%,6.6,,,"Maybe the perfect ""lite"" Belgian. Good coriander, flavor is light yet solidly Belgian. ",
,,,Golden Road Hefeweizen,WHEAT ALES,Hefeweizen,GOLDEN ROAD BREWING,"Los Angeles, CA",5.0%,6.2,6.5,6.4,American take on a hefe that isn't an insult to actual German beers. ,a very very good take on the hefe
,,,Schneider Weisse Tap 7: Mein Original,WHEAT ALES,Hefeweizen,G. SCHNEIDER & SOHN,"Kelheim, GERMANY",5.4%,6.4,6.3,6.4,"Darker Hefeweissbier, and good fizz makes it a very refreshing ""dark"" banana bread beer.",darker Weihenstephaner but super refreshing
,,,Ayinger Urweisse,WHEAT ALES,Dunkelweizen,AYINGER PRIVATBRAUEREI,"Aying, GERMANY",5.8%,6.6,6.0,6.3,Buttery smooth. Just kinda plain ol' good. ,"liquid butter, but not as good as its cousin"
,,,Louvada Weiss,WHEAT ALES,Hefeweizen,CERVEJERIA LOUVADA,"Cuiabá, BRAZIL",5.0%,6.3,6.3,6.3,"Very, very well rounded hefe notes. Has an odd bitter end. Lighter than Weihenstephan.","ever so slightly too light and sour, tannins on the back of the tongue makes a pretty darn good hefe ever so slighly less enjoyable"
,,,Golden Road Christmas Cart,WHEAT ALES,American Pale Wheat Beer,GOLDEN ROAD BREWING,"Los Angeles, CA",6.0%,6.0,6.4,6.2,"Doesn't look pale at all. Tastes more ""seasonally spiced"" than their pumpkin ale. ",the real pumpkin ale
,,,Miyajima Weizen,WHEAT ALES,Hefeweizen,MIYAJIMA BEER,"Hiroshima, JAPAN",5.0%,6.2,,,"They had a ""red ale"" that was unavailable, but I'm pretty sure this is that red ale. ",
,,,Sonderklasse Leipzig Witbier,WHEAT ALES,Witbier,PRIVATBRAUEREI EIBAU,"Eibau, GERMANY",5.2%,6.0,6.3,6.2,Smells excellent but doesn't have the taste to back it up. Quite light in body and flavor.,"very nice default wit, although a tad watery"
,,,Hacker-Pschorr Weissbier,WHEAT ALES,Hefeweizen,HACKER-PSCHORR BRÄU,"Munich, GERMANY",5.5%,6.2,5.7,6.0,Banana bread with a hint of pepper and sweet plum tartness. ,"tart, light, an mmmm beer"
,,,Golden Road Belgian White,WHEAT ALES,Witbier,GOLDEN ROAD BREWING,"Los Angeles, CA",5.0%,5.5,6.2,5.9,"Extra citrus-y, therefore not hitting the expected witbier flavors. Like Blue Moon++.","nice wit, almost creamy, great mouthfeel"
,,,The Stand Hef,WHEAT ALES,Hefeweizen,ENEGREN BREWING COMPANY,"Moorpark, CA",5.0%,5.1,6.7,5.9,Super floral actual bubblegum spicy(??) hefe.,"a great hefe, the thicker body you'd expect from Weihenstephaner, but lighter on the tongue"
,,,Erdinger Weissbier (Hefe-Weizen),WHEAT ALES,Hefeweizen,PRIVATBRAUEREI ERDINGER WEISSBRÄU,"Erding, GERMANY",5.3%,5.6,5.9,5.8,"No frills hefe. Hints of sweet, good fizz. ",a real good fizzy beer
,,,Holla Back Hefe,WHEAT ALES,Hefeweizen,HERITAGE BEER COMPANY,"San Juan Capistrano, CA",5.0%,,5.8,,,"lite hefe, bit sour and fruit, not the typical wheat beer"
,,,True Wit,WHEAT ALES,Witbier,ABITA BREWING COMPANY,"Covington, LA",5.2%,6.1,5.5,5.8,"Solid hits on the Belgian coriander notes. Didn't get a ton of citrus, just a hint of banana.","pretty quintessential wit, lots of coriander with no banana"
,,,Honey Hefeweizen,WHEAT ALES,Hefeweizen,BLAZING TREE BREWERY,"El Paso, TX",7.3%,,5.7,,,"best in this brewery by a long shot, thicker body with nice hefe notes"
,,,Tuava Guava,WHEAT ALES,Hefeweizen,LAGUNA BEACH BEER COMPANY,"Laguna Beach, CA",5.5%,6.0,5.4,5.7,"More guava than Guava Cart, but I'm not convinced this is actually a hefe. ","lots of guava, not a lot of hefe, tasty tho"
,,,Weihenstephaner Kristallweissbier,WHEAT ALES,Kristallweizen,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.4%,5.8,5.5,5.7,1516 but with more spices.,Banana Beer Lite
,,,White Magic ,WHEAT ALES,Witbier,ELYSIAN BREWING COMPANY,"Seattle, WA",5.2%,5.5,5.9,5.7,"The wrong part of the corriander lingers, but good corriander nonetheless. ","finally some coriander, belgian nose, lingering bitterness"
🆕,,,Cali Squeeze Blood Orange,WHEAT ALES,Hefeweizen,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",5.4%,5.3,5.7,5.5,More like a radler or fruit beer than a hefe. ,grapefruit vitamin c
,,,Erdinger Weissbier Dunkel,WHEAT ALES,Dunkelweizen,PRIVATBRAUEREI ERDINGER WEISSBRÄU,"Erding, GERMANY",5.3%,6.0,4.9,5.5,"Fits the ""dark witbier"" to a tee. Slight coffee taste and still light and refreshing.",not offensive whatsoever
,,,Spicy Mango Cart,WHEAT ALES,American Pale Wheat Beer,GOLDEN ROAD BREWING,"Los Angeles, CA",3.2%,4.8,6.1,5.5,"Tajin mango beer. No, I don't know how.","wait, this is better than normal mango cart lmao"
,,,Paulaner Hefe-Weissbier Naturtrüb,WHEAT ALES,Hefeweizen,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",5.5%,5.5,5.0,5.3,Are hefes are supposed to get bananas? Feel kinda duped without them.,"plain ole wheat beer, nothing should be worse than this"
,,,Schneider Weisse Love Beer,WHEAT ALES,Hefeweizen,G. SCHNEIDER & SOHN,"Kelheim, GERMANY",4.9%,4.8,5.7,5.3,Missing most hefe notes. Not much going on.,"hazy, fruity, lingering bitterness"
,,,Blue Moon Belgian White,WHEAT ALES,Witbier,MOLSON COORS BEVERAGE COMPANY ,"Golden, CO",5.4%,5.2,5.2,5.2,About as orange-y as orange pulp.,"barely orange beer, but pretty good mouthfeel"
,,,Coedo Shiro,WHEAT ALES,Hefeweizen,KYODO SHOJI KOEDO BREWERY,"Saitama, JAPAN",5.5%,5.1,5.2,5.2,"Too sweet, with no spice or bite. First hefe to actually strike me hard as bubblegum. ","mid hefe, a lil too light in everything"
,,,Covina Citrus,WHEAT ALES,American Pale Wheat Beer,CAMPSITE BREWING COMPANY,"Covina, CA",5.2%,4.8,5.5,5.2,Citrusy with some bitter up front that should come from grapefruit but I think is hop. Why?,"citrus AND wheat, not necessarily combined well but still a good drink"
,,,Joker's Wit,WHEAT ALES,Witbier,BOULEVARD BREWING COMPANY,"Kansas City, MO",7.4%,5.3,5.0,5.2,Hits you with the advertised double on the corriander spice and nothing else.,"coriander+++, but otherwise lacking in other wit notes, double wit my ass"
,,,Samuel Adams Summer Ale,WHEAT ALES,American Pale Wheat Beer,BOSTON BEER COMPANY,"Boston, MA",5.3%,4.8,5.5,5.2,"Very light wit, with just a hint of citrus.","light, citrusy wheat beer"
,,,Camaraderie Wheat Beer,WHEAT ALES,American Pale Wheat Beer,BJ'S BREWHOUSE,"West Covina, CA",5.6%,5.7,4.4,5.1,Hints of wit and hefe flavors. Honestly solid.,"musky, but kinda in a good way???"
,,,Blanche De Chambly ,WHEAT ALES,Witbier,UNIBROUE,"Quebec, CANADA",5.0%,5.2,4.8,5.0,"Yeasty. Banana bread vibes with not a ton of banana, just bread. ","really, really dry. feels like it disappears when i drink it"
,,,Pineapple Mana Wheat,WHEAT ALES,American Pale Wheat Beer,MAUI BREWING COMPANY,"Kihei, HI",5.5%,4.8,5.1,5.0,I was not allowed to steal Sean's comment.,pineapple cart
,,,Blue Star Wheat Beer,WHEAT ALES,American Pale Wheat Beer,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",4.5%,4.5,5.1,4.8,"Like just the ""cart"" part of Mango Cart. Smells awesome, decent citrus, generically fruity.","smells awesone, good drinking with no perticular strong note "
🆕,,,Josephs Brau Hefeweizen,WHEAT ALES,Hefeweizen,GORDON BIERSCH BREWING COMPANY**,"San Jose, CA",5.3%,4.7,4.9,4.8,Little too heavily carbonated. Strong corriander spice that tastes almost artificial. ,"watery finish, a lot of hefe notes that diappears instantly, GMO hefe vibes"
